scenario,run-number,value,final,min,max,mean,ticks
A,1,R0-SEI,4.375,0,5.625,3.649150566,1500
A,1,attack-rate,81.25,0,100,71.5814457,1500
A,1,sum [overall-infection] of turtles,654,0,654,339.6462358,1500
A,1,sum [forest-infected] of turtles,179,0,179,91.69620253,1500
A,1,sum [HDR-infected] of turtles,84,0,84,44.14323784,1500
A,1,sum [MDR-infected] of turtles,189,0,189,97.47901399,1500
A,1,sum [natural-infected] of turtles,0,0,0,0,1500
A,1,sum [road-infected] of turtles,27,0,27,11.74217189,1500
A,1,sum [forest-edge-infected] of turtles,25,0,25,15.06928714,1500
A,1,sum [industrial-infected] of turtles,0,0,0,0,1500
A,1,sum [institutional-infected] of turtles,23,0,23,10.78614257,1500
A,1,sum [commercial-infected] of turtles,45,0,45,21.84743504,1500
A,1,sum [landscaped-green-area-infected] of turtles,82,0,82,46.88274484,1500
A,2,R0-SEI,5.9375,0,6.625,4.120711193,1500
A,2,attack-rate,75,0,93.75,67.32178548,1500
A,2,sum [overall-infection] of turtles,770,0,770,384.5136576,1500
A,2,sum [forest-infected] of turtles,195,0,195,94.58094604,1500
A,2,sum [HDR-infected] of turtles,111,0,111,54.3077948,1500
A,2,sum [MDR-infected] of turtles,241,0,241,124.9693538,1500
A,2,sum [natural-infected] of turtles,0,0,0,0,1500
A,2,sum [road-infected] of turtles,22,0,22,13.08794137,1500
A,2,sum [forest-edge-infected] of turtles,49,0,49,24.48367755,1500
A,2,sum [industrial-infected] of turtles,3,0,3,1.858094604,1500
A,2,sum [institutional-infected] of turtles,19,0,19,10.44037308,1500
A,2,sum [commercial-infected] of turtles,46,0,46,22.20786143,1500
A,2,sum [landscaped-green-area-infected] of turtles,84,0,84,38.57761492,1500
A,3,R0-SEI,2.8125,0,9.0625,5.513157895,1500
A,3,attack-rate,62.5,0,100,67.99633578,1500
A,3,sum [overall-infection] of turtles,806,0,806,414.3570953,1500
A,3,sum [forest-infected] of turtles,174,0,174,88.60426382,1500
A,3,sum [HDR-infected] of turtles,98,0,98,51.8847435,1500
A,3,sum [MDR-infected] of turtles,259,0,259,127.6582278,1500
A,3,sum [natural-infected] of turtles,0,0,0,0,1500
A,3,sum [road-infected] of turtles,41,0,41,18.5236509,1500
A,3,sum [forest-edge-infected] of turtles,55,0,55,29.37441706,1500
A,3,sum [industrial-infected] of turtles,9,0,9,4.593604264,1500
A,3,sum [institutional-infected] of turtles,9,0,9,5.289140573,1500
A,3,sum [commercial-infected] of turtles,69,0,69,39.02798135,1500
A,3,sum [landscaped-green-area-infected] of turtles,92,0,92,49.40106596,1500
