scenario,run-number,value,final,min,max,mean,ticks
A,1,R0-SEI,3.25,0,3.5625,2.177173551,1500
A,1,attack-rate,81.25,0,100,67.10109927,1500
A,1,sum [overall-infection] of turtles,437,0,437,204.7415057,1500
A,1,sum [forest-infected] of turtles,176,0,176,76.92738175,1500
A,1,sum [HDR-infected] of turtles,60,0,60,31.05796136,1500
A,1,sum [MDR-infected] of turtles,88,0,88,44.42038641,1500
A,1,sum [natural-infected] of turtles,0,0,0,0,1500
A,1,sum [road-infected] of turtles,12,0,12,4.948700866,1500
A,1,sum [forest-edge-infected] of turtles,30,0,30,12.60692871,1500
A,1,sum [industrial-infected] of turtles,0,0,0,0,1500
A,1,sum [institutional-infected] of turtles,9,0,9,3.506995336,1500
A,1,sum [commercial-infected] of turtles,29,0,29,14.69287142,1500
A,1,sum [landscaped-green-area-infected] of turtles,33,0,33,16.58027981,1500
A,2,R0-SEI,2.6875,0,3.8125,2.353306129,1500
A,2,attack-rate,68.75,0,100,70.75699534,1500
A,2,sum [overall-infection] of turtles,419,0,419,205.3057961,1500
A,2,sum [forest-infected] of turtles,152,0,152,77.60692871,1500
A,2,sum [HDR-infected] of turtles,57,0,57,26.52298468,1500
A,2,sum [MDR-infected] of turtles,101,0,101,50.96535643,1500
A,2,sum [natural-infected] of turtles,0,0,0,0,1500
A,2,sum [road-infected] of turtles,7,0,7,2.325116589,1500
A,2,sum [forest-edge-infected] of turtles,29,0,29,13.70486342,1500
A,2,sum [industrial-infected] of turtles,9,0,9,4.473017988,1500
A,2,sum [institutional-infected] of turtles,3,0,3,1.868087941,1500
A,2,sum [commercial-infected] of turtles,25,0,25,10.92405063,1500
A,2,sum [landscaped-green-area-infected] of turtles,36,0,36,16.91538974,1500
A,3,R0-SEI,2.3125,0,3.6875,2.363632578,1500
A,3,attack-rate,62.5,0,93.75,65.70203198,1500
A,3,sum [overall-infection] of turtles,473,0,473,240.3464357,1500
A,3,sum [forest-infected] of turtles,184,0,184,94.11658894,1500
A,3,sum [HDR-infected] of turtles,64,0,64,31.31179214,1500
A,3,sum [MDR-infected] of turtles,96,0,96,46.29846769,1500
A,3,sum [natural-infected] of turtles,0,0,0,0,1500
A,3,sum [road-infected] of turtles,6,0,6,2.959360426,1500
A,3,sum [forest-edge-infected] of turtles,24,0,24,11.27448368,1500
A,3,sum [industrial-infected] of turtles,4,0,4,2.566955363,1500
A,3,sum [institutional-infected] of turtles,9,0,9,5.223850766,1500
A,3,sum [commercial-infected] of turtles,46,0,46,27.16588941,1500
A,3,sum [landscaped-green-area-infected] of turtles,40,0,40,19.4290473,1500
A,4,R0-SEI,0.0625,0,0.0625,0.0125,9
A,4,attack-rate,0,0,6.25,5,9
A,4,sum [overall-infection] of turtles,1,0,1,0.2,9
A,4,sum [forest-infected] of turtles,0,0,0,0,9
A,4,sum [HDR-infected] of turtles,0,0,0,0,9
A,4,sum [MDR-infected] of turtles,1,0,1,0.2,9
A,4,sum [natural-infected] of turtles,0,0,0,0,9
A,4,sum [road-infected] of turtles,0,0,0,0,9
A,4,sum [forest-edge-infected] of turtles,0,0,0,0,9
A,4,sum [industrial-infected] of turtles,0,0,0,0,9
A,4,sum [institutional-infected] of turtles,0,0,0,0,9
A,4,sum [commercial-infected] of turtles,0,0,0,0,9
A,4,sum [landscaped-green-area-infected] of turtles,0,0,0,0,9
A,5,R0-SEI,3.8125,0,4.25,2.315789474,1500
A,5,attack-rate,50,0,93.75,66.71385743,1500
A,5,sum [overall-infection] of turtles,422,0,422,195.4483678,1500
A,5,sum [forest-infected] of turtles,165,0,165,76.58960693,1500
A,5,sum [HDR-infected] of turtles,63,0,63,30.48500999,1500
A,5,sum [MDR-infected] of turtles,82,0,82,36.09127249,1500
A,5,sum [natural-infected] of turtles,0,0,0,0,1500
A,5,sum [road-infected] of turtles,8,0,8,2.967355097,1500
A,5,sum [forest-edge-infected] of turtles,28,0,28,15.40306462,1500
A,5,sum [industrial-infected] of turtles,0,0,0,0,1500
A,5,sum [institutional-infected] of turtles,2,0,2,1.249167222,1500
A,5,sum [commercial-infected] of turtles,41,0,41,20.25516322,1500
A,5,sum [landscaped-green-area-infected] of turtles,33,0,33,12.40772818,1500
A,6,R0-SEI,2.625,0,4.25,2.655438041,1500
A,6,attack-rate,68.75,0,93.75,67.55496336,1500
A,6,sum [overall-infection] of turtles,452,0,452,217.9826782,1500
A,6,sum [forest-infected] of turtles,157,0,157,77.5769487,1500
A,6,sum [HDR-infected] of turtles,63,0,63,31.15656229,1500
A,6,sum [MDR-infected] of turtles,84,0,84,37.55962692,1500
A,6,sum [natural-infected] of turtles,0,0,0,0,1500
A,6,sum [road-infected] of turtles,5,0,5,2.494337109,1500
A,6,sum [forest-edge-infected] of turtles,36,0,36,15.92338441,1500
A,6,sum [industrial-infected] of turtles,7,0,7,3.193870753,1500
A,6,sum [institutional-infected] of turtles,9,0,9,4.417721519,1500
A,6,sum [commercial-infected] of turtles,39,0,39,19.50766156,1500
A,6,sum [landscaped-green-area-infected] of turtles,52,0,52,26.15256496,1500
A,7,R0-SEI,2.5,0,4.625,2.581070953,1500
A,7,attack-rate,56.25,0,93.75,68.33361093,1500
A,7,sum [overall-infection] of turtles,431,0,431,215.7628248,1500
A,7,sum [forest-infected] of turtles,139,0,139,67.02798135,1500
