scenario,run-number,value,final,min,max,mean,ticks
A,1,R0-SEI,0.0625,0,0.125,0.054303279,60
A,1,attack-rate,0,0,12.5,6.454918033,60
A,1,sum [overall-infection] of turtles,2,0,2,0.885245902,60
A,1,sum [forest-infected] of turtles,1,0,1,0.62295082,60
A,1,sum [HDR-infected] of turtles,0,0,0,0,60
A,1,sum [MDR-infected] of turtles,1,0,1,0.262295082,60
A,1,sum [open-area-infected] of turtles,0,0,0,0,60
A,1,sum [road-infected] of turtles,0,0,0,0,60
A,1,sum [forest-edge-infected] of turtles,0,0,0,0,60
A,2,R0-SEI,2.1875,0,4.75,2.582653231,1500
A,2,attack-rate,81.25,0,100,73.2928048,1500
A,2,sum [overall-infection] of turtles,388,0,388,194.6535643,1500
A,2,sum [forest-infected] of turtles,206,0,206,108.0366422,1500
A,2,sum [HDR-infected] of turtles,5,0,5,3.517654897,1500
A,2,sum [MDR-infected] of turtles,27,0,27,15.42638241,1500
A,2,sum [open-area-infected] of turtles,105,0,105,48.04463691,1500
A,2,sum [road-infected] of turtles,3,0,3,0.693537642,1500
A,2,sum [forest-edge-infected] of turtles,42,0,42,18.93471019,1500
A,3,R0-SEI,3.375,0,6.875,3.515448035,1500
A,3,attack-rate,62.5,0,100,70.33644237,1500
A,3,sum [overall-infection] of turtles,578,0,578,274.1545636,1500
A,3,sum [forest-infected] of turtles,200,0,200,98.88141239,1500
A,3,sum [HDR-infected] of turtles,3,0,3,0.73284477,1500
A,3,sum [MDR-infected] of turtles,41,0,41,22.27181879,1500
A,3,sum [open-area-infected] of turtles,118,0,118,59.91205863,1500
A,3,sum [road-infected] of turtles,0,0,0,0,1500
A,3,sum [forest-edge-infected] of turtles,216,0,216,92.35642905,1500
A,4,R0-SEI,2.25,0,6.4375,2.948492672,1500
A,4,attack-rate,62.5,0,100,68.47101932,1500
A,4,sum [overall-infection] of turtles,450,0,450,233.2671552,1500
A,4,sum [forest-infected] of turtles,239,0,239,124.6602265,1500
A,4,sum [HDR-infected] of turtles,12,0,12,8.684210526,1500
A,4,sum [MDR-infected] of turtles,33,0,33,15.80346436,1500
A,4,sum [open-area-infected] of turtles,112,0,112,56.26249167,1500
A,4,sum [road-infected] of turtles,0,0,0,0,1500
A,4,sum [forest-edge-infected] of turtles,54,0,54,27.85676216,1500
A,5,R0-SEI,0.125,0,0.1875,0.056352459,60
A,5,attack-rate,0,0,12.5,6.557377049,60
A,5,sum [overall-infection] of turtles,4,0,4,1.032786885,60
A,5,sum [forest-infected] of turtles,4,0,4,1.032786885,60
A,5,sum [HDR-infected] of turtles,0,0,0,0,60
A,5,sum [MDR-infected] of turtles,0,0,0,0,60
A,5,sum [open-area-infected] of turtles,0,0,0,0,60
A,5,sum [road-infected] of turtles,0,0,0,0,60
A,5,sum [forest-edge-infected] of turtles,0,0,0,0,60
A,6,R0-SEI,1.75,0,5.1875,2.911767155,1500
A,6,attack-rate,62.5,0,93.75,65.50216522,1500
A,6,sum [overall-infection] of turtles,447,0,447,227.9593604,1500
A,6,sum [forest-infected] of turtles,218,0,218,109.6469021,1500
A,6,sum [HDR-infected] of turtles,6,0,6,2.98401066,1500
A,6,sum [MDR-infected] of turtles,33,0,33,17.16588941,1500
A,6,sum [open-area-infected] of turtles,108,0,108,56.55762825,1500
A,6,sum [road-infected] of turtles,0,0,0,0,1500
A,6,sum [forest-edge-infected] of turtles,82,0,82,41.60493005,1500
A,7,R0-SEI,0,0,0,0,1
A,7,attack-rate,0,0,0,0,1
A,7,sum [overall-infection] of turtles,0,0,0,0,1
A,7,sum [forest-infected] of turtles,0,0,0,0,1
A,7,sum [HDR-infected] of turtles,0,0,0,0,1
A,7,sum [MDR-infected] of turtles,0,0,0,0,1
A,7,sum [open-area-infected] of turtles,0,0,0,0,1
A,7,sum [road-infected] of turtles,0,0,0,0,1
A,7,sum [forest-edge-infected] of turtles,0,0,0,0,1
A,8,R0-SEI,0.375,0,0.375,0.096354167,23
A,8,attack-rate,0,0,6.25,5.729166667,23
A,8,sum [overall-infection] of turtles,6,0,6,1.541666667,23
A,8,sum [forest-infected] of turtles,3,0,3,1.416666667,23
A,8,sum [HDR-infected] of turtles,0,0,0,0,23
A,8,sum [MDR-infected] of turtles,0,0,0,0,23
A,8,sum [open-area-infected] of turtles,2,0,2,0.083333333,23
A,8,sum [road-infected] of turtles,0,0,0,0,23
A,8,sum [forest-edge-infected] of turtles,1,0,1,0.041666667,23
A,9,R0-SEI,2.0625,0,4.1875,2.472060293,1500
A,9,attack-rate,43.75,0,100,63.52431712,1500
A,9,sum [overall-infection] of turtles,429,0,429,210.9833444,1500
A,9,sum [forest-infected] of turtles,213,0,213,99.92205197,1500
A,9,sum [HDR-infected] of turtles,5,0,5,2.914723518,1500
A,9,sum [MDR-infected] of turtles,49,0,49,24.07594937,1500
A,9,sum [open-area-infected] of turtles,124,0,124,66.82411726,1500
A,9,sum [road-infected] of turtles,2,0,2,0.967355097,1500
A,9,sum [forest-edge-infected] of turtles,36,0,36,16.27914724,1500
A,10,R0-SEI,0.125,0,0.125,0.061320755,52
A,10,attack-rate,0,0,6.25,6.014150943,52
A,10,sum [overall-infection] of turtles,2,0,2,0.981132075,52
A,10,sum [forest-infected] of turtles,1,0,1,0.226415094,52
A,10,sum [HDR-infected] of turtles,0,0,0,0,52
A,10,sum [MDR-infected] of turtles,0,0,0,0,52
A,10,sum [open-area-infected] of turtles,1,0,1,0.754716981,52
