scenario,run-number,value,final,min,max,mean,ticks
A,1,R0-SEI,0.0625,0,0.0625,0.03515625,15
A,1,attack-rate,0,0,6.25,5.46875,15
A,1,sum [overall-infection] of turtles,1,0,1,0.5625,15
A,1,sum [forest-infected] of turtles,1,0,1,0.5625,15
A,1,sum [HDR-infected] of turtles,0,0,0,0,15
A,1,sum [MDR-infected] of turtles,0,0,0,0,15
A,1,sum [open-area-infected] of turtles,0,0,0,0,15
A,1,sum [road-infected] of turtles,0,0,0,0,15
A,1,sum [forest-edge-infected] of turtles,0,0,0,0,15
A,2,R0-SEI,2.3125,0,3.3125,2.153272818,1500
A,2,attack-rate,62.5,0,93.75,65.16072618,1500
A,2,sum [overall-infection] of turtles,370,0,370,172.7481679,1500
A,2,sum [forest-infected] of turtles,210,0,210,99.50499667,1500
A,2,sum [HDR-infected] of turtles,5,0,5,2.248500999,1500
A,2,sum [MDR-infected] of turtles,39,0,39,18.96602265,1500
A,2,sum [open-area-infected] of turtles,93,0,93,41.51099267,1500
A,2,sum [road-infected] of turtles,1,0,1,0.913391073,1500
A,2,sum [forest-edge-infected] of turtles,22,0,22,9.604263824,1500
A,3,R0-SEI,1.9375,0,4.0625,2.061708861,1500
A,3,attack-rate,62.5,0,93.75,63.42438374,1500
A,3,sum [overall-infection] of turtles,360,0,360,178.260493,1500
A,3,sum [forest-infected] of turtles,199,0,199,105.8914057,1500
A,3,sum [HDR-infected] of turtles,6,0,6,3.104596935,1500
A,3,sum [MDR-infected] of turtles,38,0,38,15.49433711,1500
A,3,sum [open-area-infected] of turtles,98,0,98,45.15589607,1500
A,3,sum [road-infected] of turtles,0,0,0,0,1500
A,3,sum [forest-edge-infected] of turtles,19,0,19,8.614257162,1500
A,4,R0-SEI,0,0,0,0,8
A,4,attack-rate,0,0,6.25,4.861111111,8
A,4,sum [overall-infection] of turtles,0,0,0,0,8
A,4,sum [forest-infected] of turtles,0,0,0,0,8
A,4,sum [HDR-infected] of turtles,0,0,0,0,8
A,4,sum [MDR-infected] of turtles,0,0,0,0,8
A,4,sum [open-area-infected] of turtles,0,0,0,0,8
A,4,sum [road-infected] of turtles,0,0,0,0,8
A,4,sum [forest-edge-infected] of turtles,0,0,0,0,8
A,5,R0-SEI,2,0,2.875,1.94741006,1500
A,5,attack-rate,50,0,93.75,65.14407062,1500
A,5,sum [overall-infection] of turtles,330,0,330,166.3570953,1500
A,5,sum [forest-infected] of turtles,198,0,198,98.15922718,1500
A,5,sum [HDR-infected] of turtles,7,0,7,2.245169887,1500
A,5,sum [MDR-infected] of turtles,41,0,41,23.03064624,1500
A,5,sum [open-area-infected] of turtles,64,0,64,33.25049967,1500
A,5,sum [road-infected] of turtles,0,0,0,0,1500
A,5,sum [forest-edge-infected] of turtles,20,0,20,9.671552298,1500
A,6,R0-SEI,2.0625,0,3.25,1.671593937,1500
A,6,attack-rate,75,0,93.75,59.22301799,1500
A,6,sum [overall-infection] of turtles,329,0,329,153.8194537,1500
A,6,sum [forest-infected] of turtles,193,0,193,91.48834111,1500
A,6,sum [HDR-infected] of turtles,7,0,7,2.744836775,1500
A,6,sum [MDR-infected] of turtles,29,0,29,13.00266489,1500
A,6,sum [open-area-infected] of turtles,82,0,82,37.17788141,1500
A,6,sum [road-infected] of turtles,0,0,0,0,1500
A,6,sum [forest-edge-infected] of turtles,18,0,18,9.405729514,1500
A,7,R0-SEI,2.3125,0,2.8125,1.753580946,1500
A,7,attack-rate,75,0,100,67.33011326,1500
A,7,sum [overall-infection] of turtles,309,0,309,154.8121252,1500
A,7,sum [forest-infected] of turtles,175,0,175,93.3550966,1500
A,7,sum [HDR-infected] of turtles,3,0,3,1.936042638,1500
A,7,sum [MDR-infected] of turtles,35,0,35,18.50099933,1500
A,7,sum [open-area-infected] of turtles,74,0,74,30.23051299,1500
A,7,sum [road-infected] of turtles,0,0,0,0,1500
A,7,sum [forest-edge-infected] of turtles,22,0,22,10.78947368,1500
A,8,R0-SEI,2.6875,0,3,1.947243504,1500
A,8,attack-rate,62.5,0,100,69.89506995,1500
A,8,sum [overall-infection] of turtles,303,0,303,142.8287808,1500
A,8,sum [forest-infected] of turtles,166,0,166,76.7248501,1500
A,8,sum [HDR-infected] of turtles,5,0,5,2.191205863,1500
A,8,sum [MDR-infected] of turtles,41,0,41,17.72151899,1500
A,8,sum [open-area-infected] of turtles,76,0,76,37.83077948,1500
A,8,sum [road-infected] of turtles,0,0,0,0,1500
A,8,sum [forest-edge-infected] of turtles,15,0,15,8.360426382,1500
A,9,R0-SEI,0.9375,0,3.6875,2.15814457,1500
A,9,attack-rate,31.25,0,93.75,61.57978015,1500
A,9,sum [overall-infection] of turtles,359,0,359,174.8314457,1500
A,9,sum [forest-infected] of turtles,193,0,193,88.63757495,1500
A,9,sum [HDR-infected] of turtles,9,0,9,5.451698867,1500
A,9,sum [MDR-infected] of turtles,45,0,45,21.24783478,1500
A,9,sum [open-area-infected] of turtles,94,0,94,48.32378414,1500
A,9,sum [road-infected] of turtles,1,0,1,0.897401732,1500
A,9,sum [forest-edge-infected] of turtles,17,0,17,10.27315123,1500
A,10,R0-SEI,1.5,0,3.75,2.079405396,1500
A,10,attack-rate,75,0,93.75,62.30429714,1500
A,10,sum [overall-infection] of turtles,327,0,327,167.6715523,1500
A,10,sum [forest-infected] of turtles,181,0,181,94.89740173,1500
A,10,sum [HDR-infected] of turtles,7,0,7,2.970686209,1500
A,10,sum [MDR-infected] of turtles,37,0,37,15.96069287,1500
A,10,sum [open-area-infected] of turtles,79,0,79,43.04863424,1500
A,10,sum [road-infected] of turtles,0,0,0,0,1500
A,10,sum [forest-edge-infected] of turtles,23,0,23,10.79413724,1500
A,11,R0-SEI,2.5,0,2.625,1.806045969,1500
A,11,attack-rate,75,0,100,64.79846769,1500
A,11,sum [overall-infection] of turtles,331,0,331,168.3237841,1500
A,11,sum [forest-infected] of turtles,170,0,170,86.15589607,1500
A,11,sum [HDR-infected] of turtles,18,0,18,9.929380413,1500
A,11,sum [MDR-infected] of turtles,46,0,46,23.64623584,1500
A,11,sum [open-area-infected] of turtles,79,0,79,38.92071952,1500
A,11,sum [road-infected] of turtles,2,0,2,0.609593604,1500
A,11,sum [forest-edge-infected] of turtles,16,0,16,9.061958694,1500
A,12,R0-SEI,2.9375,0,3.6875,1.86317455,1500
A,12,attack-rate,87.5,0,93.75,62.24183877,1500
A,12,sum [overall-infection] of turtles,322,0,322,153.2851432,1500
A,12,sum [forest-infected] of turtles,174,0,174,84.38374417,1500
A,12,sum [HDR-infected] of turtles,15,0,15,8.445702865,1500
A,12,sum [MDR-infected] of turtles,29,0,29,12.90672885,1500
A,12,sum [open-area-infected] of turtles,89,0,89,42.1685543,1500
A,12,sum [road-infected] of turtles,0,0,0,0,1500
A,12,sum [forest-edge-infected] of turtles,15,0,15,5.380413058,1500
A,13,R0-SEI,0,0,0,0,2
A,13,attack-rate,0,0,6.25,2.083333333,2
A,13,sum [overall-infection] of turtles,0,0,0,0,2
A,13,sum [forest-infected] of turtles,0,0,0,0,2
A,13,sum [HDR-infected] of turtles,0,0,0,0,2
A,13,sum [MDR-infected] of turtles,0,0,0,0,2
A,13,sum [open-area-infected] of turtles,0,0,0,0,2
A,13,sum [road-infected] of turtles,0,0,0,0,2
A,13,sum [forest-edge-infected] of turtles,0,0,0,0,2
A,14,R0-SEI,0,0,0,0,3
A,14,attack-rate,0,0,6.25,3.125,3
A,14,sum [overall-infection] of turtles,0,0,0,0,3
A,14,sum [forest-infected] of turtles,0,0,0,0,3
A,14,sum [HDR-infected] of turtles,0,0,0,0,3
A,14,sum [MDR-infected] of turtles,0,0,0,0,3
A,14,sum [open-area-infected] of turtles,0,0,0,0,3
A,14,sum [road-infected] of turtles,0,0,0,0,3
A,14,sum [forest-edge-infected] of turtles,0,0,0,0,3
A,15,R0-SEI,1.5,0,2.9375,1.926174217,1500
A,15,attack-rate,62.5,0,100,65.75616256,1500
A,15,sum [overall-infection] of turtles,354,0,354,182.0093271,1500
A,15,sum [forest-infected] of turtles,192,0,192,98.19453698,1500
A,15,sum [HDR-infected] of turtles,7,0,7,4.837441706,1500
A,15,sum [MDR-infected] of turtles,39,0,39,19.56229181,1500
A,15,sum [open-area-infected] of turtles,96,0,96,51.01932045,1500
A,15,sum [road-infected] of turtles,1,0,1,0.905396402,1500
A,15,sum [forest-edge-infected] of turtles,19,0,19,7.490339773,1500
A,16,R0-SEI,2.4375,0,3.6875,2.045552965,1500
A,16,attack-rate,62.5,0,93.75,61.11342438,1500
A,16,sum [overall-infection] of turtles,355,0,355,168.4776815,1500
A,16,sum [forest-infected] of turtles,212,0,212,97.24050633,1500
A,16,sum [HDR-infected] of turtles,13,0,13,9.064623584,1500
A,16,sum [MDR-infected] of turtles,38,0,38,19.66622252,1500
A,16,sum [open-area-infected] of turtles,70,0,70,34.69686875,1500
A,16,sum [road-infected] of turtles,1,0,1,0.476349101,1500
A,16,sum [forest-edge-infected] of turtles,21,0,21,7.333111259,1500
A,17,R0-SEI,0,0,0,0,6
A,17,attack-rate,0,0,6.25,4.464285714,6
A,17,sum [overall-infection] of turtles,0,0,0,0,6
A,17,sum [forest-infected] of turtles,0,0,0,0,6
A,17,sum [HDR-infected] of turtles,0,0,0,0,6
A,17,sum [MDR-infected] of turtles,0,0,0,0,6
A,17,sum [open-area-infected] of turtles,0,0,0,0,6
A,17,sum [road-infected] of turtles,0,0,0,0,6
A,17,sum [forest-edge-infected] of turtles,0,0,0,0,6
A,18,R0-SEI,2.125,0,3.5,2.03580946,1500
A,18,attack-rate,56.25,0,100,63.40356429,1500
A,18,sum [overall-infection] of turtles,342,0,342,161.7868088,1500
A,18,sum [forest-infected] of turtles,194,0,194,90.4763491,1500
A,18,sum [HDR-infected] of turtles,7,0,7,3.864756829,1500
A,18,sum [MDR-infected] of turtles,49,0,49,23.4497002,1500
A,18,sum [open-area-infected] of turtles,70,0,70,31.73750833,1500
A,18,sum [road-infected] of turtles,1,0,1,0.728181213,1500
A,18,sum [forest-edge-infected] of turtles,21,0,21,11.53031312,1500
A,19,R0-SEI,2.8125,0,3.25,2.014906729,1500
A,19,attack-rate,100,0,100,62.52498334,1500
A,19,sum [overall-infection] of turtles,331,0,331,156.5682878,1500
A,19,sum [forest-infected] of turtles,202,0,202,93.67488341,1500
A,19,sum [HDR-infected] of turtles,10,0,10,6.307794803,1500
A,19,sum [MDR-infected] of turtles,32,0,32,13.5709527,1500
A,19,sum [open-area-infected] of turtles,71,0,71,37.30512991,1500
A,19,sum [road-infected] of turtles,1,0,1,0.431712192,1500
A,19,sum [forest-edge-infected] of turtles,15,0,15,5.27781479,1500
A,20,R0-SEI,0,0,0,0,12
A,20,attack-rate,0,0,6.25,5.288461538,12
A,20,sum [overall-infection] of turtles,0,0,0,0,12
A,20,sum [forest-infected] of turtles,0,0,0,0,12
A,20,sum [HDR-infected] of turtles,0,0,0,0,12
A,20,sum [MDR-infected] of turtles,0,0,0,0,12
A,20,sum [open-area-infected] of turtles,0,0,0,0,12
A,20,sum [road-infected] of turtles,0,0,0,0,12
A,20,sum [forest-edge-infected] of turtles,0,0,0,0,12
A,21,R0-SEI,1.5,0,3,1.893779147,1500
A,21,attack-rate,50,0,100,64.41122585,1500
A,21,sum [overall-infection] of turtles,316,0,316,157.2018654,1500
A,21,sum [forest-infected] of turtles,192,0,192,91.46902065,1500
A,21,sum [HDR-infected] of turtles,8,0,8,4.213191206,1500
A,21,sum [MDR-infected] of turtles,28,0,28,14.10193205,1500
A,21,sum [open-area-infected] of turtles,72,0,72,38.48034644,1500
A,21,sum [road-infected] of turtles,0,0,0,0,1500
A,21,sum [forest-edge-infected] of turtles,16,0,16,8.937375083,1500
A,22,R0-SEI,0.25,0,0.25,0.076086957,22
A,22,attack-rate,0,0,6.25,5.706521739,22
A,22,sum [overall-infection] of turtles,4,0,4,1.217391304,22
A,22,sum [forest-infected] of turtles,2,0,2,0.956521739,22
A,22,sum [HDR-infected] of turtles,0,0,0,0,22
A,22,sum [MDR-infected] of turtles,0,0,0,0,22
A,22,sum [open-area-infected] of turtles,2,0,2,0.260869565,22
A,22,sum [road-infected] of turtles,0,0,0,0,22
A,22,sum [forest-edge-infected] of turtles,0,0,0,0,22
A,23,R0-SEI,1.9375,0,3.5,1.923884077,1500
A,23,attack-rate,68.75,0,100,61.74217189,1500
A,23,sum [overall-infection] of turtles,375,0,375,184.0326449,1500
A,23,sum [forest-infected] of turtles,206,0,206,108.3111259,1500
A,23,sum [HDR-infected] of turtles,5,0,5,2.143237841,1500
A,23,sum [MDR-infected] of turtles,52,0,52,23.3964024,1500
A,23,sum [open-area-infected] of turtles,89,0,89,42.3344437,1500
A,23,sum [road-infected] of turtles,0,0,0,0,1500
A,23,sum [forest-edge-infected] of turtles,23,0,23,7.847435043,1500
A,24,R0-SEI,0.125,0,0.125,0.0625,13
A,24,attack-rate,0,0,6.25,5.357142857,13
A,24,sum [overall-infection] of turtles,2,0,2,1,13
A,24,sum [forest-infected] of turtles,0,0,0,0,13
A,24,sum [HDR-infected] of turtles,0,0,0,0,13
A,24,sum [MDR-infected] of turtles,0,0,0,0,13
A,24,sum [open-area-infected] of turtles,2,0,2,1,13
A,24,sum [road-infected] of turtles,0,0,0,0,13
A,24,sum [forest-edge-infected] of turtles,0,0,0,0,13
A,25,R0-SEI,2.5,0,4,2.254538641,1500
A,25,attack-rate,75,0,87.5,62.01698867,1500
A,25,sum [overall-infection] of turtles,418,0,418,200.3917388,1500
A,25,sum [forest-infected] of turtles,205,0,205,96.03797468,1500
A,25,sum [HDR-infected] of turtles,15,0,15,7.998667555,1500
A,25,sum [MDR-infected] of turtles,61,0,61,28.6982012,1500
A,25,sum [open-area-infected] of turtles,99,0,99,53.34110593,1500
A,25,sum [road-infected] of turtles,2,0,2,0.622251832,1500
A,25,sum [forest-edge-infected] of turtles,36,0,36,13.69353764,1500
A,26,R0-SEI,0.125,0,0.125,0.08,24
A,26,attack-rate,0,0,6.25,5.75,24
A,26,sum [overall-infection] of turtles,2,0,2,1.28,24
A,26,sum [forest-infected] of turtles,2,0,2,1.28,24
A,26,sum [HDR-infected] of turtles,0,0,0,0,24
A,26,sum [MDR-infected] of turtles,0,0,0,0,24
A,26,sum [open-area-infected] of turtles,0,0,0,0,24
A,26,sum [road-infected] of turtles,0,0,0,0,24
A,26,sum [forest-edge-infected] of turtles,0,0,0,0,24
A,27,R0-SEI,2.875,0,3.375,2.243462692,1500
A,27,attack-rate,93.75,0,93.75,64.63191206,1500
A,27,sum [overall-infection] of turtles,357,0,357,188.1412392,1500
A,27,sum [forest-infected] of turtles,196,0,196,101.3944037,1500
A,27,sum [HDR-infected] of turtles,12,0,12,7.985343105,1500
A,27,sum [MDR-infected] of turtles,39,0,39,20.79613591,1500
A,27,sum [open-area-infected] of turtles,89,0,89,46.07594937,1500
A,27,sum [road-infected] of turtles,0,0,0,0,1500
A,27,sum [forest-edge-infected] of turtles,21,0,21,11.88940706,1500
A,28,R0-SEI,0.0625,0,0.0625,0.045454545,10
A,28,attack-rate,0,0,6.25,5.113636364,10
A,28,sum [overall-infection] of turtles,1,0,1,0.727272727,10
A,28,sum [forest-infected] of turtles,0,0,0,0,10
A,28,sum [HDR-infected] of turtles,0,0,0,0,10
A,28,sum [MDR-infected] of turtles,0,0,0,0,10
A,28,sum [open-area-infected] of turtles,1,0,1,0.727272727,10
A,28,sum [road-infected] of turtles,0,0,0,0,10
A,28,sum [forest-edge-infected] of turtles,0,0,0,0,10
A,29,R0-SEI,2.75,0,3.0625,1.863674217,1500
A,29,attack-rate,50,0,93.75,59.91005996,1500
A,29,sum [overall-infection] of turtles,343,0,343,166.7228514,1500
A,29,sum [forest-infected] of turtles,181,0,181,83.56828781,1500
A,29,sum [HDR-infected] of turtles,8,0,8,5.748167888,1500
A,29,sum [MDR-infected] of turtles,56,0,56,26.70219853,1500
A,29,sum [open-area-infected] of turtles,84,0,84,43.95936043,1500
A,29,sum [road-infected] of turtles,0,0,0,0,1500
A,29,sum [forest-edge-infected] of turtles,14,0,14,6.744836775,1500
A,30,R0-SEI,0.125,0,0.1875,0.117977528,88
A,30,attack-rate,0,0,12.5,6.320224719,88
A,30,sum [overall-infection] of turtles,3,0,3,2.235955056,88
A,30,sum [forest-infected] of turtles,3,0,3,2.235955056,88
A,30,sum [HDR-infected] of turtles,0,0,0,0,88
A,30,sum [MDR-infected] of turtles,0,0,0,0,88
A,30,sum [open-area-infected] of turtles,0,0,0,0,88
A,30,sum [road-infected] of turtles,0,0,0,0,88
A,30,sum [forest-edge-infected] of turtles,0,0,0,0,88
A,31,R0-SEI,2.1875,0,3.125,1.885118254,1500
A,31,attack-rate,50,0,93.75,65.40639574,1500
A,31,sum [overall-infection] of turtles,331,0,331,155.7621586,1500
A,31,sum [forest-infected] of turtles,181,0,181,81.69886742,1500
A,31,sum [HDR-infected] of turtles,8,0,8,3.608261159,1500
A,31,sum [MDR-infected] of turtles,43,0,43,22.65822785,1500
A,31,sum [open-area-infected] of turtles,75,0,75,37.18987342,1500
A,31,sum [road-infected] of turtles,1,0,1,0.886742172,1500
A,31,sum [forest-edge-infected] of turtles,23,0,23,9.720186542,1500
A,32,R0-SEI,2.625,0,3.25,2.059252165,1500
A,32,attack-rate,93.75,0,100,61.82128581,1500
A,32,sum [overall-infection] of turtles,332,0,332,156.0139907,1500
A,32,sum [forest-infected] of turtles,172,0,172,74.99467022,1500
A,32,sum [HDR-infected] of turtles,13,0,13,7.702198534,1500
A,32,sum [MDR-infected] of turtles,49,0,49,25.66622252,1500
A,32,sum [open-area-infected] of turtles,82,0,82,40.50832778,1500
A,32,sum [road-infected] of turtles,0,0,0,0,1500
A,32,sum [forest-edge-infected] of turtles,16,0,16,7.142571619,1500
A,33,R0-SEI,0,0,0,0,37
A,33,attack-rate,0,0,6.25,5.921052632,37
A,33,sum [overall-infection] of turtles,0,0,0,0,37
A,33,sum [forest-infected] of turtles,0,0,0,0,37
A,33,sum [HDR-infected] of turtles,0,0,0,0,37
A,33,sum [MDR-infected] of turtles,0,0,0,0,37
A,33,sum [open-area-infected] of turtles,0,0,0,0,37
A,33,sum [road-infected] of turtles,0,0,0,0,37
A,33,sum [forest-edge-infected] of turtles,0,0,0,0,37
A,34,R0-SEI,0,0,0,0,16
A,34,attack-rate,0,0,6.25,5.514705882,16
A,34,sum [overall-infection] of turtles,0,0,0,0,16
A,34,sum [forest-infected] of turtles,0,0,0,0,16
A,34,sum [HDR-infected] of turtles,0,0,0,0,16
A,34,sum [MDR-infected] of turtles,0,0,0,0,16
A,34,sum [open-area-infected] of turtles,0,0,0,0,16
A,34,sum [road-infected] of turtles,0,0,0,0,16
